timestamp,elapsed_ms,rss_kb,vsz_kb,footprint_kb,event
2026-05-27T00:15:22.726Z,238,1095888,423431632,489977,compile:/.well-known/[...slug]
2026-05-27T00:15:22.787Z,299,1096224,423431632,502953,
2026-05-27T00:15:22.854Z,366,1099968,423431632,512873,compile:/.well-known/jwks
2026-05-27T00:15:22.920Z,432,1100000,423431632,513849,compile:/.well-known/oauth-authorization-server
2026-05-27T00:15:22.984Z,496,1100016,423431632,514425,compile:/.well-known/openid-configuration
2026-05-27T00:15:23.036Z,548,1100176,423431632,558969,
2026-05-27T00:15:23.287Z,799,1111136,423431632,641289,
2026-05-27T00:15:23.326Z,838,1111664,423431632,642217,compile:/.well-known/otel/metrics
2026-05-27T00:15:23.534Z,1046,1099136,423415504,660055,
2026-05-27T00:15:23.606Z,1118,1100624,423415504,661191,compile:/.well-known/vercel/flags
2026-05-27T00:15:23.791Z,1303,1109056,423415504,719303,
2026-05-27T00:15:24.040Z,1552,1132752,423415504,842519,
2026-05-27T00:15:24.290Z,1802,1186544,423457264,955223,
2026-05-27T00:15:24.545Z,2057,1286896,423457264,1066919,
2026-05-27T00:15:24.795Z,2307,1381184,423457264,1214647,
2026-05-27T00:15:25.043Z,2555,1515568,423457328,1359287,
2026-05-27T00:15:25.284Z,2796,1617120,423457328,1452568,
2026-05-27T00:15:25.542Z,3054,1617120,423457328,1452568,
2026-05-27T00:15:25.797Z,3309,1617136,423457328,1452584,
2026-05-27T00:15:26.050Z,3562,1617456,423457328,1452904,
2026-05-27T00:15:26.299Z,3811,1540336,423457328,1457080,
2026-05-27T00:15:26.551Z,4063,1543280,423457328,1459080,
2026-05-27T00:15:26.796Z,4308,1543136,423457328,1459144,
2026-05-27T00:15:27.050Z,4562,1540656,423457328,1459144,
2026-05-27T00:15:27.310Z,4822,1538112,423457328,1459160,
2026-05-27T00:15:27.564Z,5076,1524384,423457328,1459160,
2026-05-27T00:15:27.797Z,5309,1524384,423457328,1459160,
2026-05-27T00:15:28.048Z,5560,1524384,423457328,1459160,
2026-05-27T00:15:28.302Z,5814,1524384,423457328,1459160,
2026-05-27T00:15:28.552Z,6064,1524384,423457328,1459160,
2026-05-27T00:15:28.802Z,6314,1524384,423457328,1459160,
2026-05-27T00:15:29.048Z,6560,1524384,423457328,1459160,
2026-05-27T00:15:29.308Z,6820,1524384,423457328,1459160,
2026-05-27T00:15:29.564Z,7076,1524368,423456768,1459112,
2026-05-27T00:15:29.809Z,7321,1524368,423456768,1459112,
2026-05-27T00:15:30.056Z,7568,1524368,423456768,1459112,
2026-05-27T00:15:30.314Z,7826,1524368,423456768,1459112,
2026-05-27T00:15:30.567Z,8079,1524368,423456768,1459112,
2026-05-27T00:15:30.815Z,8327,1524368,423456768,1459112,
2026-05-27T00:15:31.062Z,8574,1524368,423456768,1459112,
2026-05-27T00:15:31.358Z,8870,1525040,423456768,1473112,
